Date,Time,Description
29/03/2566,15:45,นัดกินข้าวกับลูกค้า
29/03/2566,20:20,ประชุมบริษัท
29/03/2566,20:30,ประชุมบริษัท ฝ่ายการเงิน
30/03/2566,15:25,ไปต่างจังหวัด
30/03/2566,09:30,ประชุมบริษัท ฝ่ายการตลาด
30/03/2566,20:20,ไปพบลูกค้านอกสถานที่
30/03/2566,20:25,ไปประชุมนอกสถานที่ 
30/03/2566,22:20,ดูตัวอย่างงานที่ทำไว้
30/03/2566,22:20,ดูตัวอย่างงานที่ทำไว้  2  วัน
31/03/2566,09:20,ประชุมบริษัท
04/04/2566,12:00,นัดกินข้าวกัลลูกค้า
04/04/2566,21:25,กับบ้านนอก
05/03/2566,11:20, กินข้าวกับลูกค้า
05/04/2566,22:21,ไปต่างจังหวัด
06/03/2566,10:20,ประชุมฝ่ายการเงิน
11/04/2566,09:25,พบลูกค้าต่างจังหวัด
